Date,Open,High,Low,Close,Adj Close,Volume
2008-02-29,,,,,11.261544802,
2008-03-03,,,,,11.816461502,
2008-03-04,,,,,11.947030137,
2008-03-05,,,,,12.448259403,
2008-03-06,,,,,12.158764998,
2008-03-07,,,,,12.11837043,
2008-03-10,,,,,11.512451909,
2008-03-11,,,,,12.05104615,
2008-03-12,,,,,11.869270594,
2008-03-13,,,,,12.354005411,
2008-03-14,,,,,12.522316111,
2008-03-17,,,,,12.286681131,
2008-03-18,,,,,12.327075699,
2008-03-19,,,,,12.253018991,
2008-03-20,,,,,12.454991831,
2008-03-24,,,,,12.11837043,
2008-03-25,,,,,12.542513395,
2008-03-26,,,,,12.535780967,
2008-03-27,,,,,12.421329691,
2008-03-28,,,,,12.01738401,
2008-03-31,,,,,12.05104615,
2008-04-01,,,,,12.926261792,
2008-04-02,,,,,13.262883193,
2008-04-03,,,,,13.633166734,
2008-04-04,,,,,13.370602042,
2008-04-07,,,,,13.195558913,
2008-04-08,,,,,12.838740228,
2008-04-09,,,,,13.330207473,
2008-04-10,,,,,13.498518174,
2008-04-11,,,,,13.262883193,
2008-04-14,,,,,13.222488625,
2008-04-15,,,,,12.63003496,
2008-04-16,,,,,12.656964672,
2008-04-17,,,,,12.313610843,
2008-04-18,,,,,12.589640392,
2008-04-22,,,,,12.562710679,
2008-04-23,,,,,12.286681131,
2008-04-24,,,,,11.84907331,
2008-04-25,,,,,12.185694711,
2008-04-28,,,,,12.387667551,
2008-04-29,,,,,12.01738401,
2008-04-30,,,,,13.060910353,
2008-05-02,,,,,13.188826485,
2008-05-05,,,,,13.202291341,
2008-05-06,,,,,12.656964672,
2008-05-07,,,,,12.226089279,
2008-05-08,,,,,12.441526975,
2008-05-09,,,,,12.555978251,
2008-05-12,,,,,12.656964672,
2008-05-13,,,,,12.549245823,
2008-05-14,,,,,12.89933208,
2008-05-15,,,,,13.397531754,
2008-05-16,,,,,13.734153154,
2008-05-19,,,,,13.572574882,
2008-05-20,,,,,13.532180314,
2008-05-21,,,,,12.724288952,
2008-05-23,,,,,12.327075699,
2008-05-26,,,,,12.367470267,
2008-05-27,,,,,12.15203257,
2008-05-28,,,,,12.704091668,
2008-05-29,,,,,13.128234633,
2008-05-30,,,,,12.656964672,
2008-06-02,,,,,12.354005411,
2008-06-03,,,,,12.205891995,
2008-06-04,,,,,11.95005973,
2008-06-05,,,,,12.354005411,
2008-06-06,,,,,11.748086889,
2008-06-09,,,,,12.05104615,
2008-06-10,,,,,12.003919154,
2008-06-11,,,,,12.05104615,
2008-06-12,,,,,11.98372187,
2008-06-13,,,,,12.165497426,
2008-06-16,,,,,12.293413559,
2008-06-17,,,,,12.522316111,
2008-06-18,,,,,12.313610843,
2008-06-19,,,,,11.91639759,
2008-06-20,,,,,11.842340882,
2008-06-23,,,,,11.606705901,
2008-06-24,,,,,11.175830508,
2008-06-25,,,,,11.088308944,
2008-06-26,,,,,10.576644414,
2008-06-27,,,,,10.906533387,
2008-06-30,,,,,11.108506228,
2008-07-01,,,,,11.243154788,
2008-07-02,,,,,10.765152399,
2008-07-03,,,,,10.509320134,
2008-07-04,,,,,10.367939146,
2008-07-07,,,,,10.199628445,
2008-07-08,,,,,10.502587706,
2008-07-10,,,,,10.973857667,
2008-07-11,,,,,10.987322523,
2008-07-14,,,,,11.438395201,
2008-07-15,,,,,12.253018991,
2008-07-16,,,,,12.522316111,
2008-07-17,,,,,12.320343271,
2008-07-18,,,,,12.421329691,
2008-07-21,,,,,12.522316111,
2008-07-22,,,,,12.253018991,
2008-07-23,,,,,12.08470829,
2008-07-24,,,,,12.064511006,
2008-07-25,,,,,12.454991831,
2008-07-28,,,,,12.11837043,
2008-07-29,,,,,12.623302532,
2008-07-30,,,,,12.327075699,
2008-07-31,,,,,12.678223872,
2008-08-01,,,,,12.153988282,
2008-08-04,,,,,12.402310404,
2008-08-05,,,,,12.554062811,
2008-08-06,,,,,12.678223872,
2008-08-07,,,,,12.657530362,
2008-08-08,,,,,12.760997913,
2008-08-11,,,,,12.485084444,
2008-08-12,,,,,12.795487096,
2008-08-13,,,,,12.940341667,
2008-08-14,,,,,13.043809218,
2008-08-15,,,,,12.774793586,
2008-08-18,,,,,12.767895749,
2008-08-19,,,,,13.009320034,
2008-08-20,,,,,13.347314033,
2008-08-21,,,,,13.864651786,
2008-08-22,,,,,13.243846482,
2008-08-25,,,,,13.292131339,
2008-08-26,,,,,13.119685422,
2008-08-27,,,,,13.623227502,
2008-08-28,,,,,13.512862114,
2008-08-29,,,,,13.092094075,
2008-09-01,,,,,13.347314033,
2008-09-02,,,,,13.174868115,
2008-09-03,,,,,12.8713633,
2008-09-04,,,,,12.78858926,
2008-09-05,,,,,12.540267138,
2008-09-08,,,,,12.009133711,
2008-09-09,,,,,11.567672162,
2008-09-10,,,,,11.864279141,
2008-09-11,,,,,12.312638527,
2008-09-12,,,,,12.485084444,
2008-09-15,,,,,11.7815051,
2008-09-16,,,,,12.271251506,
2008-09-17,,,,,11.484898121,
2008-09-18,,,,,11.553876489,
2008-09-19,,,,,13.105889748,
2008-09-22,,,,,13.002422198,
2008-09-23,,,,,12.698917382,
2008-09-24,,,,,12.692019546,
2008-09-25,,,,,12.767895749,
2008-09-26,,,,,13.030013544,
2008-09-29,,,,,12.312638527,
2008-09-30,,,,,12.760997913,
2008-10-01,,,,,13.657716685,
2008-10-02,,,,,12.967933014,
2008-10-03,,,,,13.519759951,
2008-10-06,,,,,12.657530362,
2008-10-07,,,,,12.416106077,
2008-10-08,,,,,12.002235875,
2008-10-09,,,,,11.829789957,
2008-10-10,,,,,11.657344039,
2008-10-13,,,,,12.147090446,
2008-10-14,,,,,11.850483467,
2008-10-15,,,,,11.657344039,
2008-10-16,,,,,12.34712771,
2008-10-17,,,,,11.733220243,
2008-10-20,,,,,12.416106077,
2008-10-21,,,,,12.009133711,
2008-10-22,,,,,11.733220243,
2008-10-23,,,,,12.071214242,
2008-10-24,,,,,11.953951018,
2008-10-27,,,,,11.415919754,
2008-10-28,,,,,11.657344039,
2008-10-29,,,,,11.7815051,
2008-10-30,,,,,12.485084444,
2008-10-31,,,,,12.898954647,
2008-11-03,,,,,13.657716685,
2008-11-04,,,,,14.48545709,
2008-11-05,,,,,14.96830566,
2008-11-06,,,,,14.561333294,
2008-11-07,,,,,14.471661417,
2008-11-10,,,,,13.588738318,
2008-11-11,,,,,14.48545709,
2008-11-12,,,,,13.864651786,
2008-11-13,,,,,14.830348926,
2008-11-14,,,,,14.140565255,
2008-11-17,,,,,13.795673419,
2008-11-18,,,,,14.071586888,
2008-11-19,,,,,14.48545709,
2008-11-21,,,,,14.292317662,
2008-11-24,,,,,14.313011172,
2008-11-25,,,,,13.864651786,
2008-11-26,,,,,14.48545709,
2008-11-27,,,,,14.168156602,
